,2614136,1748727,4147432,2742586,2739772,4150530,4188143,4185705,2588031,2586785,2591099,2590255,4782243,4783213,4780955,2614238,4150156,4187341,4186403,2590117,2617364,4151628,2590277,2590137,4784841
20,1556288.6,1316626.2,373312.25,642574.8,184493.66,159954.1,293642.47,823569.06,12073.051,84983.85,31037.4,25741.791,533927.2,504299.3,283005.56,1565581.9,714218.0,294960.75,828515.75,94762.22,5466648.0,11499920.0,21202948.0,250594.44,5491369.5
21,988720.4,878512.06,253712.77,508775.44,126427.18,118257.16,264714.25,721195.7,10888.029,64732.527,27322.73,20086.68,482618.1,406096.7,238720.16,994785.5,471266.75,265846.16,725569.4,75494.91,3623299.2,7729948.5,16074406.0,206453.34,4483225.5
22,1541893.5,1261089.0,334973.53,754071.9,191994.02,176635.06,323503.0,993381.2,11804.439,83291.65,30077.31,27407.65,565323.2,515722.12,286037.44,1550866.2,652661.06,324846.53,998993.75,97824.8,5311323.5,11346212.0,21487948.0,252896.0,5500066.5
23,1770160.2,1523635.0,442687.47,884535.5,209272.06,207390.12,422726.6,1228056.0,17474.309,120033.29,42893.04,31806.291,748004.75,686576.0,399190.25,1780573.8,804045.7,424484.9,1235046.4,116214.21,6308401.0,13470832.0,27181928.0,311718.9,7449308.0
24,1602778.6,1378611.8,386012.3,812560.56,200781.25,187663.75,358131.5,1050073.5,13949.83,93686.41,36318.82,27352.32,681289.1,679461.5,361143.8,1612713.5,709995.75,359672.5,1056113.5,99982.91,5674582.0,12171255.0,23946796.0,274630.53,6993470.0
25,1512359.0,1394958.8,410367.34,724892.0,187257.1,181988.27,320451.88,918930.1,14471.98,103974.15,34244.1,30221.61,597628.75,551413.0,310007.25,1521128.5,747798.1,321767.22,923964.6,107100.7,5542246.0,11998516.0,23215534.0,280982.44,5770125.0
26,1789316.5,1566138.9,416499.0,866615.2,230549.84,187004.66,351898.94,1133491.0,14235.45,99574.58,34428.812,31873.422,678574.9,672792.1,344407.44,1799582.0,735059.1,353378.12,1139798.5,114725.336,6308527.5,13139438.0,25056098.0,305189.2,6816104.0
27,1575722.5,1407543.5,379375.34,775030.1,201232.45,183166.53,323023.34,986127.1,12786.049,95551.875,34911.895,27377.479,611120.9,558936.75,302838.56,1584886.5,686999.8,324359.25,991339.75,100435.94,5604723.0,11894171.0,22809726.0,269254.34,5789265.0
28,1614093.1,1437242.4,390058.3,766006.4,187400.9,191422.98,346758.56,927113.2,12692.041,95816.56,34731.094,26106.01,589645.1,565795.6,298905.12,1623064.5,730072.8,348161.16,932453.0,96403.31,5769170.5,12451490.0,23527140.0,261153.44,5811152.5
29,1383031.2,1267046.0,368723.8,651856.56,179066.06,163116.67,331098.8,830828.25,11786.32,83358.16,35888.848,31436.3,627540.4,627252.9,309522.88,1391284.6,698568.25,332540.25,835790.06,113905.37,5176715.5,11302820.0,21650738.0,308657.97,6305561.5
30,1498485.5,1360780.4,376603.16,704089.4,181974.78,165580.36,311917.38,876214.2,12511.87,91109.16,32718.23,25334.328,573289.6,576117.75,278950.84,1506780.8,679647.25,313235.47,881144.6,88906.14,5329820.0,11415795.0,21486872.0,237265.31,5713110.0
31,1982857.6,1785949.6,521666.3,1069586.2,260359.17,274933.34,483280.94,1386604.8,19360.09,147012.27,49419.65,38600.07,822666.44,877890.7,399196.9,1995367.8,1004322.06,485240.1,1394819.5,143295.47,7309765.0,16428939.0,32520390.0,383779.06,8216160.0
32,1249614.5,1131343.4,348326.8,664313.9,173127.25,159708.69,317364.44,870675.6,10854.32,82303.555,30013.3,24187.639,568134.25,588769.06,272437.44,1257913.8,637140.5,318699.7,875278.4,86513.7,4701387.0,10370170.0,20159942.0,230004.34,5509325.0
33,1387641.0,1218725.2,331221.06,632770.5,156840.75,160833.2,292129.12,756409.75,11607.86,79678.27,32538.04,27232.541,575165.2,598243.75,279729.84,1395601.5,616095.7,293354.12,760478.6,102234.516,4841757.0,10246214.0,19963790.0,281125.4,5746290.0
34,1297607.8,1090754.0,311183.2,634525.0,152531.05,157089.84,300077.53,778376.56,12442.79,87661.09,32120.76,31149.7,591366.6,607222.7,289209.06,1305543.6,578298.4,301341.3,782596.0,111566.195,4565553.5,9830589.0,19837664.0,292802.6,5963382.5
35,1271310.5,1048129.1,318923.06,633687.2,154239.84,161049.17,300675.94,803754.0,10998.15,77948.07,28093.08,24753.201,550216.2,564597.5,248678.45,1278912.5,620693.75,301936.94,808456.25,89440.97,4494588.0,9932618.0,19285820.0,243452.06,5331905.0
36,1230624.9,962987.5,274437.56,630224.75,156834.23,135820.78,260011.97,777131.9,8928.72,72522.43,26096.809,23779.969,510280.62,480649.28,222960.95,1238298.0,527353.2,261173.12,781443.25,85932.28,4315433.0,9275542.0,17659432.0,230392.5,4855589.5
37,1422692.5,1237698.8,370252.5,711166.44,189028.72,160569.12,304269.25,888872.0,11395.85,84781.99,30328.16,25754.291,629630.0,590569.56,285748.6,1431566.5,651117.4,305555.88,894217.1,93003.08,5157795.5,11048839.0,20945790.0,249516.66,5695584.5
38,1770268.8,1593179.2,501470.66,1055640.8,249118.56,234418.44,497043.28,1497487.0,17304.16,128812.6,45885.777,40620.992,925368.4,902550.44,434365.1,1781734.9,897522.6,499131.0,1505191.4,150020.61,6603980.5,14849778.0,30261226.0,398542.44,8897470.0
39,1493200.1,1272896.8,386887.0,796595.9,201719.53,176513.67,372465.8,1051593.2,15155.98,105163.03,38354.258,29754.719,726982.7,663935.44,376745.56,1502414.9,717632.75,374005.47,1057196.6,110372.05,5378476.0,11865418.0,24114614.0,300063.7,6853666.5
40,1376929.8,1268966.8,397399.8,722161.06,182507.61,169449.38,342385.8,895052.1,12023.28,87474.48,34883.145,27039.36,657597.25,568508.7,327280.9,1385076.8,692484.9,343820.94,900084.56,98558.75,5155532.5,11248268.0,21869996.0,269401.94,6240695.0
