,nhm_id,comid,site_no,long,lat,begin_date,end_date,geometry,years_of_data,reachcode,comid-long,comid-lat
51,1485.0,2588381,01446500,-75.0825,40.82638889,1922-10-01,2024-12-02,POINT (-75.0825 40.82638889),102.17111567419576,2040105000097.0,-75.08382332972201,40.82581990370235
52,1486.0,2588411,,,,,,,,,,
53,1487.0,2588457,,,,,,,,,,
54,1488.0,2588477,,,,,,,,,,
55,1489.0,2588479,,,,,,,,,,
56,1490.0,2588481,,,,,,,,,,
57,1491.0,2588489,,,,,,,,,,
58,1492.0,2590117,01463620,-74.6719444,40.2697222,1972-09-22,2024-12-01,POINT (-74.6719444 40.2697222),52.19164955509925,2040105000008.0,-74.67237952706752,40.26981712936645
59,1493.0,2590137,01464000,-74.7491667,40.22416667,1923-10-01,2024-12-02,POINT (-74.7491667 40.22416667),101.17180013689254,2040105001098.0,-74.7498009644857,40.22377246471177
60,1494.0,2590201,,,,,,,,,,
61,1495.0,2590217,,,,,,,,,,
62,1496.0,2590235,,,,,,,,,,
63,1497.0,2590249,,,,,,,,,,
64,1498.0,2590277,01463500,-74.7780556,40.22166667,1912-10-01,2024-12-02,POINT (-74.7780556 40.22166667),112.1697467488022,2040105001083.0,-74.77164704243381,40.21542884904349
65,1499.0,2590295,,,,,,,,,,
66,1500.0,2591187,,,,,,,,,,
67,1501.0,2591219,01459500,-75.1165609,40.4337151,1935-10-01,2024-12-01,POINT (-75.1165609 40.4337151),89.1690622861054,2040105000223.0,-75.11652174847764,40.43388195792904
68,1502.0,2591241,01460000,-75.0662818,40.4237156,1884-01-01,1913-12-31,POINT (-75.0662818 40.4237156),29.9958932238193,2040105000220.0,-75.06571143763745,40.42287943650337
69,1503.0,2591435,,,,,,,,,,
70,1504.0,2591437,,,,,,,,,,
71,1505.0,2591449,,,,,,,,,,
72,1545.0,2612794,01421618,-74.6622222,42.3611111,1997-10-01,2024-12-01,POINT (-74.6622222 42.3611111),27.16769336071184,2040101000280.0,-74.6623613419084,42.361268234125816
73,1546.0,2612822,01421900,-74.9072222,42.28027778,1937-04-01,2024-12-01,POINT (-74.9072222 42.28027778),87.66872005475702,2040101000125.0,-74.90764541944148,42.2801703764484
74,1547.0,2612826,01422000,-74.9180556,42.2711111,1937-04-01,1970-09-29,POINT (-74.9180556 42.2711111),33.49486652977413,2040101000124.0,-74.91872529599632,42.27100127747909
75,1548.0,2612842,01422500,-74.9010556,42.25238889,1937-10-01,2024-12-01,POINT (-74.9010556 42.25238889),87.16769336071184,2040101000119.0,-74.90153672896245,42.25248285102757
76,1549.0,2612920,01421610,-74.66888889,42.37138889,2000-08-11,2024-12-01,POINT (-74.66888889 42.37138889),24.306639288158795,2040101000133.0,-74.669399498418,42.37125132120649
77,1550.0,2612932,,,,,,,,,,
78,1551.0,2612942,,,,,,,,,,
79,1552.0,2613340,,,,,,,,,,
80,1553.0,2613342,,,,,,,,,,
81,1554.0,2613498,01422747,-75.1219167,42.17266667,1998-10-01,2024-12-01,POINT (-75.1219167 42.17266667),26.168377823408623,2040101000134.0,-75.12208825145757,42.17250040157093
82,1555.0,2613528,,,,,,,,,,
83,1556.0,2613578,01423000,-75.14002778,42.1661111,1950-10-01,2024-12-01,POINT (-75.14002778 42.1661111),74.16837782340862,2040101000085.0,-75.14065303557408,42.16564660791722
84,,2613640,01425500,-75.39277778,42.1611111,1934-10-01,1968-09-29,POINT (-75.39277778 42.1611111),33.9958932238193,2040101000652.0,-75.39296054462935,42.16081140783793
85,1557.0,2613738,,,,,,,,,,
86,1558.0,2613826,01426000,-75.4280556,42.0586111,1940-10-01,1973-09-29,POINT (-75.4280556 42.0586111),32.99383983572896,2040101000169.0,-75.42801870625331,42.05881847852672
87,1559.0,2614018,0142400103,-75.2794444,42.1735833,1952-10-01,2024-12-01,POINT (-75.2794444 42.1735833),72.16700889801506,2040101000152.0,-75.27918937129378,42.173133898746265
88,1560.0,2614120,,,,,,,,,,
89,1561.0,2614122,01424500,-75.3200833,42.09530556,1940-10-01,1963-09-29,POINT (-75.3200833 42.09530556),22.99247091033539,2040101005437.0,-75.3214538855808,42.08879450253832
90,1562.0,2614136,,,,,,,,,,
91,1563.0,2614144,,,,,,,,,,
92,1564.0,2614146,,,,,,,,,,
93,1565.0,2614210,01426500,-75.38352778,42.00302778,1912-11-15,2024-12-01,POINT (-75.38352778 42.00302778),112.04380561259411,2040101000975.0,-75.3792752800385,42.00204615937484
94,1566.0,2614238,01425000,-75.3958056,42.07491667,1952-07-01,2024-12-01,POINT (-75.3958056 42.07491667),72.41889117043121,2040101000072.0,-75.40234156663578,42.079657706416654
95,1567.0,2615122,,,,,,,,,,
96,1568.0,2615318,01428500,-74.9860556,41.50875,1940-10-01,2024-12-01,POINT (-74.9860556 41.50875),84.16700889801506,2040101000023.0,-74.98451784395277,41.506507868318025
97,1569.0,2617174,01428000,-75.0144444,41.56388889,1946-10-01,2024-12-01,POINT (-75.0144444 41.56388889),78.16837782340862,2040101000265.0,-75.01518546437691,41.56325501184666
98,1570.0,2617252,01427500,-75.04838889,41.76055556,1940-10-01,2024-12-01,POINT (-75.04838889 41.76055556),84.16700889801506,2040101000001.0,-75.0485503751869,41.76083072745759
99,1571.0,2617286,,,,,,,,,,
100,1572.0,2617290,,,,,,,,,,
101,1573.0,2617324,,,,,,,,,,
102,1574.0,2617366,,,,,,,,,,
103,1575.0,2617370,,,,,,,,,,
104,1576.0,2617440,,,,,,,,,,
105,1577.0,2617442,,,,,,,,,,
106,1578.0,2617456,01427510,-75.0574167,41.75675,1975-06-27,2024-12-01,POINT (-75.0574167 41.75675),49.43189596167009,2040101000033.0,-75.05616811485838,41.75659476486162
107,1579.0,2617490,,,,,,,,,,
108,1580.0,2617492,,,,,,,,,,
109,1581.0,2617552,,,,,,,,,,
110,1582.0,2617554,,,,,,,,,,
111,1583.0,2619256,,,,,,,,,,
112,1584.0,2739446,,,,,,,,,,
113,1585.0,2739472,,,,,,,,,,
114,1586.0,2739748,01428750,-75.37601299,41.67452998,1986-10-01,2024-12-01,POINT (-75.37601299 41.67452998),38.16837782340863,2040103000045.0,-75.37600801678924,41.67421979853829
115,1587.0,2739766,01429500,-75.26710469,41.6072181,1943-10-01,2024-12-01,POINT (-75.26710469 41.6072181),81.1690622861054,2040103000024.0,-75.26718153107164,41.60702148865101
116,1588.0,2739772,01429000,-75.326829,41.5872185,1944-10-01,2024-12-01,POINT (-75.326829 41.5872185),80.16700889801506,2040103000041.0,-75.32705444432975,41.58689366733064
117,1589.0,2739776,01430000,-75.2479377,41.5619407,1948-10-01,2024-12-01,POINT (-75.2479377 41.5619407),76.16700889801506,2040103000022.0,-75.24663210063058,41.5616404690043
118,1592.0,2741462,,,,,,,,,,
119,1593.0,2742534,,,,,,,,,,
120,1594.0,2742550,,,,,,,,,,
121,1595.0,2742586,,,,,,,,,,
122,1596.0,2742844,,,,,,,,,,
123,1597.0,2742850,,,,,,,,,,
124,1598.0,2742870,,,,,,,,,,
125,1599.0,2743190,,,,,,,,,,
126,1600.0,2743192,,,,,,,,,,
127,1601.0,2743198,01431500,-75.1721186,41.4762002,1908-10-01,2024-12-01,POINT (-75.1721186 41.4762002),116.16700889801506,2040103000015.0,-75.171809277641,41.47601261814845
128,1602.0,2743218,01432000,-75.1857304,41.4598114,1909-10-01,2005-09-29,POINT (-75.1857304 41.4598114),95.99452429842572,2040103004344.0,-75.18493000380313,41.459503769599216
129,1634.0,4146586,01434021,-74.4144444,42.0111111,1991-01-01,2024-12-01,POINT (-74.4144444 42.0111111),33.91649555099247,2040104000154.0,-74.4148052546876,42.01127779760736
130,1635.0,4147366,,,,,,,,,,
131,1636.0,4147394,01434017,-74.54027778,41.92527778,1991-07-01,2024-12-01,POINT (-74.54027778 41.92527778),33.42094455852156,2040104000143.0,-74.54022360828388,41.9249354294928
132,1637.0,4147396,01434498,-74.57438889,41.92041667,1991-07-01,2024-12-01,POINT (-74.57438889 41.92041667),33.42094455852156,2040104000149.0,-74.57483693071529,41.92060435782933
133,1638.0,4147432,01436000,-74.6355556,41.82,1941-10-01,2024-12-01,POINT (-74.6355556 41.82),83.16769336071184,2040104000138.0,-74.6351770576017,41.820198744353526
134,1639.0,4147458,01436500,-74.5976111,41.7566111,1937-10-21,1993-09-30,POINT (-74.5976111 41.7566111),55.94250513347023,2040104000136.0,-74.59755279659063,41.75636114275108
135,1640.0,4147566,01432900,-74.7805556,41.66805556,2002-10-01,2024-12-01,POINT (-74.7805556 41.66805556),22.168377823408623,2040104000193.0,-74.78096196604258,41.66789877056058
136,1641.0,4147634,01436690,-74.61688889,41.63805556,1992-10-01,2024-12-01,POINT (-74.61688889 41.63805556),32.167008898015055,2040104000130.0,-74.61836844926484,41.63639019831543
137,1642.0,4147946,01434025,-74.5002222,41.9960833,1983-06-08,2024-12-01,POINT (-74.5002222 41.9960833),41.4839151266256,2040104001311.0,-74.50066014284786,41.99528969265056
138,1643.0,4147948,,,,,,,,,,
139,1644.0,4147950,0143400680,-74.4480556,41.96694444,1990-10-01,2024-12-01,POINT (-74.4480556 41.96694444),34.168377823408626,2040104000147.0,-74.44829266402652,41.96659680503284
140,1645.0,4147956,01435000,-74.5898056,41.88994444,1937-11-01,2024-12-01,POINT (-74.5898056 41.88994444),87.08281998631075,2040104000140.0,-74.59008987196107,41.88961537150775
141,1646.0,4149932,,,,,,,,,,
142,1647.0,4150156,01433500,-74.75877778,41.4612222,1939-08-15,2024-12-01,POINT (-74.75877778 41.4612222),85.29774127310061,2040104000179.0,-74.7589323702737,41.46132839721794
143,1648.0,4150228,,,,,,,,,,
144,1649.0,4150230,,,,,,,,,,
145,1650.0,4150304,,,,,,,,,,
146,1651.0,4151032,,,,,,,,,,
147,1652.0,4151208,01437000,-74.6454722,41.49580556,1928-07-24,1973-09-29,POINT (-74.6454722 41.49580556),45.18275154004107,2040104000120.0,-74.64556884315789,41.4955267364744
148,1653.0,4151216,01437500,-74.60188889,41.4413611,1937-07-31,2024-12-01,POINT (-74.60188889 41.4413611),87.33744010951403,2040104000087.0,-74.60151364320619,41.44104330132906
149,1654.0,4151302,01440000,-74.9525,41.1061111,1923-10-01,2024-12-02,POINT (-74.9525 41.1061111),101.17180013689254,2040104000006.0,-74.95644386792797,41.10461885356239
150,1655.0,4151446,,,,,,,,,,
151,1656.0,4151468,,,,,,,,,,
152,1657.0,4151516,,,,,,,,,,
153,1658.0,4151524,01434000,-74.69713889,41.3705833,1904-10-01,2024-12-01,POINT (-74.69713889 41.3705833),120.16700889801506,2040104000171.0,-74.69609202458588,41.37128664233084
154,1659.0,4151628,01438500,-74.79527778,41.30916667,1939-10-01,2024-12-02,POINT (-74.79527778 41.30916667),85.17180013689254,2040104000050.0,-74.7956079659893,41.30892340920299
155,1660.0,4151820,,,,,,,,,,
156,1661.0,4151822,,,,,,,,,,
157,1662.0,4151824,,,,,,,,,,
158,1663.0,4151830,,,,,,,,,,
159,1664.0,4152932,,,,,,,,,,
