,nhm_id,comid,long,lat,begin_date,end_date,geometry,years_of_data,reachcode,comid-long,comid-lat,site_no
0,1435,1748535,-74.5591944,42.29380556,2000-06-07,2024-12-01,POINT (-74.5591944 42.29380556),24.484599589322382,2040102000097.0,-74.55911003619427,42.29358934174184,01413088
1,1436,1748567,-74.60138889,42.1508333,1997-10-01,2024-12-01,POINT (-74.60138889 42.1508333),27.16769336071184,2040102000091.0,-74.60188552577982,42.150786338283936,01413398
2,1437,1748583,-74.6536111,42.1447222,1937-02-01,2024-12-01,POINT (-74.6536111 42.1447222),87.8302532511978,2040102000083.0,-74.65311633812529,42.14397956886979,01413500
3,1440,1748589,-74.8186111,42.12,1937-02-01,2024-12-01,POINT (-74.8186111 42.12),87.8302532511978,2040102000204.0,-74.81956968064392,42.119521537154185,01415000
4,1441,1748611,-74.7305556,42.1061111,1937-02-01,2024-12-01,POINT (-74.7305556 42.1061111),87.8302532511978,2040102000080.0,-74.7305065138588,42.10714220751717,01414500
5,1442,1748719,-74.6233333,42.14666667,1996-12-05,2024-12-01,POINT (-74.6233333 42.14666667),27.98904859685147,2040102000084.0,-74.62288623852893,42.14716064070679,01413408
6,1443,1748723,-74.6955556,42.13305556,1941-10-01,2024-12-01,POINT (-74.6955556 42.13305556),83.16769336071184,2040102000098.0,-74.6950620721211,42.132023911367575,01414000
7,1465,2583309,-74.69527778,41.07638889,1992-08-06,2024-12-02,POINT (-74.69527778 41.07638889),32.323066392881586,2040105001814.0,-74.6954582659949,41.07681602488473,01443280
8,1469,2586771,-74.9533333,40.9808333,1921-10-01,2024-12-02,POINT (-74.9533333 40.9808333),103.17043121149898,2040105000155.0,-74.9535882189454,40.98110318427957,01443500
9,1472,2586809,-74.97777778,40.83055556,1921-10-01,2024-12-02,POINT (-74.97777778 40.83055556),103.17043121149898,2040105000103.0,-74.97834869200548,40.83066161624146,01445500
10,1545,2612794,-74.6622222,42.3611111,1997-10-01,2024-12-01,POINT (-74.6622222 42.3611111),27.16769336071184,2040101000280.0,-74.6623613419084,42.361268234125816,01421618
11,1546,2612822,-74.9072222,42.28027778,1937-04-01,2024-12-01,POINT (-74.9072222 42.28027778),87.66872005475702,2040101000125.0,-74.90764541944148,42.2801703764484,01421900
12,1548,2612842,-74.9010556,42.25238889,1937-10-01,2024-12-01,POINT (-74.9010556 42.25238889),87.16769336071184,2040101000119.0,-74.90153672896245,42.25248285102757,01422500
13,1549,2612920,-74.66888889,42.37138889,2000-08-11,2024-12-01,POINT (-74.66888889 42.37138889),24.306639288158795,2040101000133.0,-74.669399498418,42.37125132120649,01421610
14,1554,2613498,-75.1219167,42.17266667,1998-10-01,2024-12-01,POINT (-75.1219167 42.17266667),26.168377823408623,2040101000134.0,-75.12208825145757,42.17250040157093,01422747
15,1556,2613578,-75.14002778,42.1661111,1950-10-01,2024-12-01,POINT (-75.14002778 42.1661111),74.16837782340862,2040101000085.0,-75.14065303557408,42.16564660791722,01423000
16,1559,2614018,-75.2794444,42.1735833,1952-10-01,2024-12-01,POINT (-75.2794444 42.1735833),72.16700889801506,2040101000152.0,-75.27918937129378,42.173133898746265,0142400103
17,1634,4146586,-74.4144444,42.0111111,1991-01-01,2024-12-01,POINT (-74.4144444 42.0111111),33.91649555099247,2040104000154.0,-74.4148052546876,42.01127779760736,01434021
18,1636,4147394,-74.54027778,41.92527778,1991-07-01,2024-12-01,POINT (-74.54027778 41.92527778),33.42094455852156,2040104000143.0,-74.54022360828388,41.9249354294928,01434017
19,1637,4147396,-74.57438889,41.92041667,1991-07-01,2024-12-01,POINT (-74.57438889 41.92041667),33.42094455852156,2040104000149.0,-74.57483693071529,41.92060435782933,01434498
20,1642,4147946,-74.5002222,41.9960833,1983-06-08,2024-12-01,POINT (-74.5002222 41.9960833),41.4839151266256,2040104001311.0,-74.50066014284786,41.99528969265056,01434025
21,1644,4147950,-74.4480556,41.96694444,1990-10-01,2024-12-01,POINT (-74.4480556 41.96694444),34.168377823408626,2040104000147.0,-74.44829266402652,41.96659680503284,0143400680
22,1645,4147956,-74.5898056,41.88994444,1937-11-01,2024-12-01,POINT (-74.5898056 41.88994444),87.08281998631075,2040104000140.0,-74.59008987196107,41.88961537150775,01435000
23,1654,4151302,-74.9525,41.1061111,1923-10-01,2024-12-02,POINT (-74.9525 41.1061111),101.17180013689254,2040104000006.0,-74.95644386792797,41.10461885356239,01440000
24,1665,4153154,-75.32210958,41.09388988,2001-04-18,2024-12-01,POINT (-75.32210958 41.09388988),23.62217659137577,2040104000718.0,-75.3218904652875,41.09392039112681,01440485
25,1666,4153166,-75.2146251,41.0848148,1957-10-01,2024-12-01,POINT (-75.2146251 41.0848148),67.16769336071184,2040104000377.0,-75.21482278390475,41.08448736237708,01440400
26,1667,4153168,-75.03767469,41.08815078,1908-10-01,2024-12-01,POINT (-75.03767469 41.08815078),116.16700889801506,2040104000344.0,-75.03732613351471,41.08848472517633,01439500
27,1676,4154488,-75.1426788,40.998706,1950-10-01,2024-12-01,POINT (-75.1426788 40.998706),74.16837782340862,2040104000369.0,-75.14253167354461,40.99838580430384,01442500
28,1683,4185679,-75.62545259,41.1302794,1943-10-01,2024-12-01,POINT (-75.62545259 41.1302794),81.1690622861054,2040106000091.0,-75.62682624443774,41.1299884525017,01447500
29,1684,4185779,-75.6054522,41.08472426,1961-10-01,2024-12-01,POINT (-75.6054522 41.08472426),63.16769336071184,2040106000053.0,-75.6053281751743,41.08509504355838,01447720
30,1687,4185837,-75.52138889,41.06527778,1965-04-01,2024-12-01,POINT (-75.52138889 41.06527778),59.66872005475702,2040106000063.0,-75.52114678385448,41.06564696185491,01447680
31,1689,4186205,-75.5432431,41.0356434,1948-10-01,1996-09-30,POINT (-75.5432431 41.0356434),47.99726214921287,2040106000740.0,-75.5457496167202,41.03454886712903,01448500
32,1700,4187713,-75.626854,40.66176219,1966-02-01,2024-12-01,POINT (-75.626854 40.66176219),58.83093771389459,2040106000119.0,-75.62670632596132,40.661953142175136,01451800
