,long,lat,comid,station
119,-74.7805556,41.66805556,4147566,USGS-01432900
120,-74.6973853,41.3706493,4151524,USGS-01434000
121,-74.54027778,41.92527778,4147394,USGS-01434017
122,-74.5002222,41.9960833,4147946,USGS-01434025
123,-74.57438889,41.92041667,4147396,USGS-01434498
124,-74.5898056,41.88994444,4147956,USGS-01435000
125,-74.6355556,41.82,4147432,USGS-01436000
126,-74.61688889,41.63805556,4147634,USGS-01436690
127,-74.60188889,41.4413611,4151216,USGS-01437500
128,-74.79527778,41.30916667,4151628,USGS-01438500
129,-75.03767469,41.08815078,4153168,USGS-01439500
130,-74.9525,41.1061111,4151302,USGS-01440000
131,-75.2146251,41.0848148,4153166,USGS-01440400
132,-75.32212759,41.09397946,4153154,USGS-01440485
133,-75.2551824,40.9909265,4154310,USGS-01441495
134,-75.1426788,40.998706,4154488,USGS-01442500
135,-74.69527778,41.07638889,2583309,USGS-01443280
136,-74.9533333,40.9808333,2586771,USGS-01443500
137,-75.0391667,40.98055556,2587723,USGS-01443900
138,-74.77638889,40.9808333,2586769,USGS-01445000
139,-74.97777778,40.83055556,2586809,USGS-01445500
140,-75.04638889,40.8433333,2588225,USGS-01446000
141,-75.0825,40.82638889,2588381,USGS-01446500
142,-75.2651783,40.7489862,2588233,USGS-01446775
143,-75.2610116,40.74870845,2588233,USGS-01446776
144,-75.625467,41.1303626,4185679,USGS-01447500
145,-75.52138889,41.06527778,4185837,USGS-01447680
146,-75.6054666,41.0848082,4185779,USGS-01447720
147,-75.7321362,41.1048062,4186403,USGS-01447800
148,-75.70518938,40.8292587,4188159,USGS-01449000
149,-75.5024077,40.8975919,4187925,USGS-01449360
150,-75.6457437,40.84564756,4187341,USGS-01449800
151,-75.5979643,40.8062047,4187957,USGS-01450500
152,-75.60296388,40.7570395,4188205,USGS-01451000
153,-75.48296088,40.5823197,4188011,USGS-01451500
154,-75.4740717,40.59648637,4187763,USGS-01451650
155,-75.626854,40.66176219,4187713,USGS-01451800
156,-75.4824053,40.62315267,4188007,USGS-01452000
157,-75.37934709,40.6412091,4188017,USGS-01452500
158,-75.3787914,40.6153761,4188281,USGS-01453000
159,-74.6655556,40.9172222,2586785,USGS-01455500
160,-75.0608333,40.6722222,2588261,USGS-01457000
161,-75.1165609,40.4337151,2591219,USGS-01459500
162,-74.7780556,40.22166667,2590277,USGS-01463500
163,-74.6719444,40.2697222,2590117,USGS-01463620
164,-74.7733333,40.2711111,2590243,USGS-01463740
165,-74.7491667,40.22416667,2590137,USGS-01464000
166,-74.6,40.1372222,4481607,USGS-01464500
167,-75.2065626,40.31232805,4482695,USGS-01464645
168,-75.20378458,40.28816188,4482733,USGS-01464720
169,-75.0348915,40.26038549,4482999,USGS-01464750
170,-75.119616,40.22927456,4482885,USGS-01464907
171,-74.7630556,39.94,4492122,USGS-01465850
172,-74.50527778,39.885,4499256,USGS-01466500
173,-74.62777778,39.9561111,4491946,USGS-01466900
174,-74.6844444,39.97,4491898,USGS-01467000
175,-75.0690611,40.08983289,4489170,USGS-01467042
176,-75.0326713,40.05011137,4489178,USGS-01467048
177,-75.0011111,39.94166667,4495672,USGS-01467081
178,-75.1121191,40.04261157,4489180,USGS-01467086
179,-75.0968411,40.0159454,4489096,USGS-01467087
180,-75.02138889,39.90305556,4495892,USGS-01467150
181,-76.1246622,40.6292577,4779603,USGS-01468500
182,-75.97187089,40.80703327,4778811,USGS-01469500
183,-75.99826819,40.5225932,4779167,USGS-01470500
