site_no,long,lat,begin_date,end_date,geometry,years_of_data,comid,reachcode,comid-long,comid-lat
01453000,-75.3787914,40.6153761,1902-10-01,2024-12-01,POINT (-75.3787914 40.6153761),122.16837782340862,4188281,02040106000003,-75.37856293082478,40.615210405798805
01457000,-75.0608333,40.6722222,1903-10-01,2024-12-02,POINT (-75.0608333 40.6722222),121.17180013689254,2588261,02040105000055,-75.06106089469775,40.67131167073987
01434000,-74.69713889,41.3705833,1904-10-01,2024-12-01,POINT (-74.69713889 41.3705833),120.16700889801506,4151524,02040104000171,-74.69609202458588,41.37128664233084
01439500,-75.03767469,41.08815078,1908-10-01,2024-12-01,POINT (-75.03767469 41.08815078),116.16700889801506,4153168,02040104000344,-75.03732613351471,41.08848472517633
01431500,-75.1721186,41.4762002,1908-10-01,2024-12-01,POINT (-75.1721186 41.4762002),116.16700889801506,2743198,02040103000015,-75.171809277641,41.47601261814845
01481000,-75.5932623,39.8698328,1911-10-01,2024-12-01,POINT (-75.5932623 39.8698328),113.1690622861054,4652046,02040205000948,-75.59327405662123,39.86934229203102
01463500,-74.7780556,40.22166667,1912-10-01,2024-12-02,POINT (-74.7780556 40.22166667),112.1697467488022,2590277,02040105001083,-74.77164704243381,40.215428849043484
01426500,-75.38352778,42.00302778,1912-11-15,2024-12-01,POINT (-75.38352778 42.00302778),112.04380561259411,2614210,02040101000975,-75.3792752800385,42.002046159374835
01421000,-75.1747222,41.97327778,1912-11-19,2024-12-01,POINT (-75.1747222 41.97327778),112.03285420944559,1752137,02040102000004,-75.17475402064723,41.97310736720814
01471510,-75.9368333,40.3353611,1914-10-01,2024-12-01,POINT (-75.9368333 40.3353611),110.16837782340862,4782313,02040203000136,-75.93707769243248,40.33495437944677
01473000,-75.451567,40.22954725,1914-10-01,2024-12-01,POINT (-75.451567 40.22954725),110.16837782340862,4782107,02040203000046,-75.45173184265344,40.22968817033402
01469500,-75.97185458,40.8069505,1919-10-01,2024-12-02,POINT (-75.97185458 40.8069505),105.17180013689254,4778811,02040203000192,-75.97194720878707,40.806463481798744
01445500,-74.97777778,40.83055556,1921-10-01,2024-12-02,POINT (-74.97777778 40.83055556),103.17043121149898,2586809,02040105000103,-74.97834869200548,40.830661616241464
01467000,-74.6844444,39.97,1921-10-01,2024-12-02,POINT (-74.6844444 39.97),103.17043121149898,4491898,02040202000131,-74.68477075156811,39.97011372245873
01443500,-74.9533333,40.9808333,1921-10-01,2024-12-02,POINT (-74.9533333 40.9808333),103.17043121149898,2586771,02040105000155,-74.9535882189454,40.98110318427957
01446000,-75.04638889,40.8433333,1922-10-01,2024-12-02,POINT (-75.04638889 40.8433333),102.17111567419576,2588225,02040105000257,-75.04628143125949,40.84315003828593
01446500,-75.0825,40.82638889,1922-10-01,2024-12-02,POINT (-75.0825 40.82638889),102.17111567419576,2588381,02040105000097,-75.08382332972201,40.82581990370235
01440000,-74.9525,41.1061111,1923-10-01,2024-12-02,POINT (-74.9525 41.1061111),101.17180013689254,4151302,02040104000006,-74.95644386792797,41.104618853562386
01464000,-74.7491667,40.22416667,1923-10-01,2024-12-02,POINT (-74.7491667 40.22416667),101.17180013689254,2590137,02040105001098,-74.7498009644857,40.22377246471177
01472000,-75.6515752,40.2417631,1927-10-01,2024-12-01,POINT (-75.6515752 40.2417631),97.1690622861054,4782441,02040203000102,-75.65166996697253,40.242028377097824
01473500,-75.3561111,40.11555556,1927-10-01,2024-12-01,POINT (-75.3561111 40.11555556),97.1690622861054,4782491,02040203000027,-75.35526688725517,40.11525162558406
01455500,-74.6655556,40.9172222,1928-07-01,2024-12-02,POINT (-74.6655556 40.9172222),96.42162902121834,2586785,02040105000076,-74.66719831904656,40.91619643563707
01432000,-75.1857304,41.4598114,1909-10-01,2005-09-29,POINT (-75.1857304 41.4598114),95.99452429842573,2743218,02040103004344,-75.18493000380313,41.459503769599216
01412000,-74.9658333,39.41916667,1931-06-01,2024-11-05,POINT (-74.9658333 39.41916667),93.4318959616701,9483432,02040206001805,-74.96584270185241,39.41945533505052
01479000,-75.67502778,39.6992222,1931-10-01,2024-12-01,POINT (-75.67502778 39.6992222),93.1690622861054,4651938,02040205000118,-75.67444954126454,39.69887873407868
01474500,-75.1885007,39.9677908,1931-10-01,2024-12-01,POINT (-75.1885007 39.9677908),93.1690622861054,4784831,02040203000001,-75.18763975478262,39.968457185484624
01477000,-75.4082494,39.8690009,1931-10-01,2024-12-01,POINT (-75.4082494 39.8690009),93.1690622861054,4495846,02040202000207,-75.40830569791868,39.86882770377886
01411500,-75.0769444,39.49555556,1932-10-01,2024-12-02,POINT (-75.0769444 39.49555556),92.1697467488022,9485398,02040206001807,-75.07589122484056,39.49503393521257
01465500,-74.9568342,40.1739982,1934-10-01,2024-12-01,POINT (-74.9568342 40.1739982),90.16837782340862,4480911,02040201000087,-74.95754459652647,40.17406956106962
01417500,-75.11927778,42.0245833,1934-10-01,2024-12-01,POINT (-75.11927778 42.0245833),90.16837782340862,1749281,02040102000060,-75.11964324359974,42.02424398485889
01459500,-75.1165609,40.4337151,1935-10-01,2024-12-01,POINT (-75.1165609 40.4337151),89.1690622861054,2591219,02040105000223,-75.11652174847764,40.43388195792904
01483500,-75.6323056,39.2328611,1931-07-01,2020-01-01,POINT (-75.6323056 39.2328611),88.50376454483231,8075192,02040207000159,-75.63222344907331,39.23303653070452
01484000,-75.5669167,38.97602778,1931-07-01,2020-01-01,POINT (-75.5669167 38.97602778),88.50376454483231,8076762,02040207000096,-75.56646643137674,38.97606645881252
01415000,-74.8186111,42.12,1937-02-01,2024-12-01,POINT (-74.8186111 42.12),87.8302532511978,1748589,02040102000204,-74.81956968064392,42.119521537154185
01414500,-74.7305556,42.1061111,1937-02-01,2024-12-01,POINT (-74.7305556 42.1061111),87.8302532511978,1748611,02040102000080,-74.7305065138588,42.107142207517164
01413500,-74.6536111,42.1447222,1937-02-01,2024-12-01,POINT (-74.6536111 42.1447222),87.8302532511978,1748583,02040102000083,-74.65311633812529,42.14397956886979
01421900,-74.9072222,42.28027778,1937-04-01,2024-12-01,POINT (-74.9072222 42.28027778),87.66872005475702,2612822,02040101000125,-74.90764541944148,42.280170376448396
01437500,-74.60188889,41.4413611,1937-07-31,2024-12-01,POINT (-74.60188889 41.4413611),87.33744010951403,4151216,02040104000087,-74.60151364320619,41.44104330132906
01419500,-74.81277778,41.9033333,1937-08-29,2024-12-01,POINT (-74.81277778 41.9033333),87.2580424366872,1750471,02040102000032,-74.81325913221474,41.90342448537003
01422500,-74.9010556,42.25238889,1937-10-01,2024-12-01,POINT (-74.9010556 42.25238889),87.16769336071184,2612842,02040101000119,-74.90153672896245,42.25248285102757
01435000,-74.5898056,41.88994444,1937-11-01,2024-12-01,POINT (-74.5898056 41.88994444),87.08281998631075,4147956,02040104000140,-74.59008987196107,41.889615371507745
01433500,-74.75877778,41.4612222,1939-08-15,2024-12-01,POINT (-74.75877778 41.4612222),85.29774127310061,4150156,02040104000179,-74.7589323702737,41.46132839721794
01445000,-74.77638889,40.9808333,1939-10-01,2024-12-02,POINT (-74.77638889 40.9808333),85.17180013689254,2586769,02040105000119,-74.77718057056046,40.98075893221947
01438500,-74.79527778,41.30916667,1939-10-01,2024-12-02,POINT (-74.79527778 41.30916667),85.17180013689254,4151628,02040104000050,-74.7956079659893,41.30892340920299
01450500,-75.5979643,40.8062047,1939-10-01,2024-12-01,POINT (-75.5979643 40.8062047),85.1690622861054,4187957,02040106000123,-75.5980527321746,40.80559882031138
01482500,-75.33027778,39.64388889,1940-04-01,2024-12-02,POINT (-75.33027778 39.64388889),84.67077344284736,9481992,02040206000219,-75.3299650065526,39.64326673541313
01475001,-75.1144444,39.73888889,1940-04-05,2024-12-01,POINT (-75.1144444 39.73888889),84.65708418891171,4495272,02040202000048,-75.11463875852102,39.73889180882959
01464500,-74.6,40.1372222,1940-08-10,2024-12-01,POINT (-74.6 40.1372222),84.30937713894593,4481607,02040201000032,-74.6003455405763,40.1370985941922
01427500,-75.04838889,41.76055556,1940-10-01,2024-12-01,POINT (-75.04838889 41.76055556),84.16700889801506,2617252,02040101000001,-75.0485503751869,41.76083072745759
01428500,-74.9860556,41.50875,1940-10-01,2024-12-01,POINT (-74.9860556 41.50875),84.16700889801506,2615318,02040101000023,-74.98451784395277,41.506507868318025
01417000,-74.97627778,42.07502778,1941-07-01,2024-12-01,POINT (-74.97627778 42.07502778),83.41957563312799,1748727,02040102000078,-74.97718369033079,42.07444085483399
01414000,-74.6955556,42.13305556,1941-10-01,2024-12-01,POINT (-74.6955556 42.13305556),83.16769336071184,1748723,02040102000098,-74.6950620721211,42.132023911367575
01436000,-74.6355556,41.82,1941-10-01,2024-12-01,POINT (-74.6355556 41.82),83.16769336071184,4147432,02040104000138,-74.6351770576017,41.820198744353526
