,nhm_id,comid,site_no,long,lat,begin_date,end_date,geometry,years_of_data,reachcode,comid-long,comid-lat
0,1435.0,1748535,01413088,-74.5591944,42.29380556,2000-06-07,2024-12-01,POINT (-74.5591944 42.29380556),24.484599589322382,2040102000097.0,-74.55911003619427,42.29358934174184
1,1436.0,1748567,01413398,-74.60138889,42.1508333,1997-10-01,2024-12-01,POINT (-74.60138889 42.1508333),27.16769336071184,2040102000091.0,-74.60188552577982,42.150786338283936
2,1437.0,1748583,01413500,-74.6536111,42.1447222,1937-02-01,2024-12-01,POINT (-74.6536111 42.1447222),87.8302532511978,2040102000083.0,-74.65311633812529,42.14397956886979
3,1440.0,1748589,01415000,-74.8186111,42.12,1937-02-01,2024-12-01,POINT (-74.8186111 42.12),87.8302532511978,2040102000204.0,-74.81956968064392,42.119521537154185
4,1441.0,1748611,01414500,-74.7305556,42.1061111,1937-02-01,2024-12-01,POINT (-74.7305556 42.1061111),87.8302532511978,2040102000080.0,-74.7305065138588,42.10714220751717
5,1442.0,1748719,01413408,-74.6233333,42.14666667,1996-12-05,2024-12-01,POINT (-74.6233333 42.14666667),27.98904859685147,2040102000084.0,-74.62288623852893,42.14716064070679
6,1443.0,1748723,01414000,-74.6955556,42.13305556,1941-10-01,2024-12-01,POINT (-74.6955556 42.13305556),83.16769336071184,2040102000098.0,-74.6950620721211,42.132023911367575
7,,1748725,01415500,-74.90027778,42.13055556,1937-04-01,1962-09-29,POINT (-74.90027778 42.13055556),25.49486652977413,2040102000200.0,-74.90038693782958,42.1307431564529
8,1452.0,1750385,01418500,-74.8669444,41.96305556,1937-10-01,1970-09-29,POINT (-74.8669444 41.96305556),32.99383983572896,2040102000043.0,-74.86747042585948,41.962775345960615
9,1455.0,1750471,01419500,-74.81277778,41.9033333,1937-08-29,2024-12-01,POINT (-74.81277778 41.9033333),87.2580424366872,2040102000032.0,-74.81325913221474,41.90342448537003
10,1458.0,1750601,01420000,-74.7972222,41.87277778,1924-10-01,1981-09-29,POINT (-74.7972222 41.87277778),56.99383983572896,2040102000025.0,-74.79768333488936,41.87277667607615
11,1465.0,2583309,01443280,-74.69527778,41.07638889,1992-08-06,2024-12-02,POINT (-74.69527778 41.07638889),32.323066392881586,2040105001814.0,-74.6954582659949,41.07681602488473
12,1468.0,2586769,01445000,-74.77638889,40.9808333,1939-10-01,2024-12-02,POINT (-74.77638889 40.9808333),85.17180013689254,2040105000119.0,-74.77718057056046,40.98075893221947
13,1469.0,2586771,01443500,-74.9533333,40.9808333,1921-10-01,2024-12-02,POINT (-74.9533333 40.9808333),103.17043121149898,2040105000155.0,-74.9535882189454,40.98110318427957
14,1472.0,2586809,01445500,-74.97777778,40.83055556,1921-10-01,2024-12-02,POINT (-74.97777778 40.83055556),103.17043121149898,2040105000103.0,-74.97834869200548,40.83066161624146
15,1545.0,2612794,01421618,-74.6622222,42.3611111,1997-10-01,2024-12-01,POINT (-74.6622222 42.3611111),27.16769336071184,2040101000280.0,-74.6623613419084,42.361268234125816
16,1546.0,2612822,01421900,-74.9072222,42.28027778,1937-04-01,2024-12-01,POINT (-74.9072222 42.28027778),87.66872005475702,2040101000125.0,-74.90764541944148,42.2801703764484
17,1547.0,2612826,01422000,-74.9180556,42.2711111,1937-04-01,1970-09-29,POINT (-74.9180556 42.2711111),33.49486652977413,2040101000124.0,-74.91872529599632,42.27100127747909
18,1548.0,2612842,01422500,-74.9010556,42.25238889,1937-10-01,2024-12-01,POINT (-74.9010556 42.25238889),87.16769336071184,2040101000119.0,-74.90153672896245,42.25248285102757
19,1549.0,2612920,01421610,-74.66888889,42.37138889,2000-08-11,2024-12-01,POINT (-74.66888889 42.37138889),24.306639288158795,2040101000133.0,-74.669399498418,42.37125132120649
20,1554.0,2613498,01422747,-75.1219167,42.17266667,1998-10-01,2024-12-01,POINT (-75.1219167 42.17266667),26.168377823408623,2040101000134.0,-75.12208825145757,42.17250040157093
21,1556.0,2613578,01423000,-75.14002778,42.1661111,1950-10-01,2024-12-01,POINT (-75.14002778 42.1661111),74.16837782340862,2040101000085.0,-75.14065303557408,42.16564660791722
22,,2613640,01425500,-75.39277778,42.1611111,1934-10-01,1968-09-29,POINT (-75.39277778 42.1611111),33.9958932238193,2040101000652.0,-75.39296054462935,42.16081140783793
23,1558.0,2613826,01426000,-75.4280556,42.0586111,1940-10-01,1973-09-29,POINT (-75.4280556 42.0586111),32.99383983572896,2040101000169.0,-75.42801870625331,42.05881847852672
24,1559.0,2614018,0142400103,-75.2794444,42.1735833,1952-10-01,2024-12-01,POINT (-75.2794444 42.1735833),72.16700889801506,2040101000152.0,-75.27918937129378,42.173133898746265
25,1561.0,2614122,01424500,-75.3200833,42.09530556,1940-10-01,1963-09-29,POINT (-75.3200833 42.09530556),22.99247091033539,2040101005437.0,-75.3214538855808,42.08879450253832
26,1569.0,2617174,01428000,-75.0144444,41.56388889,1946-10-01,2024-12-01,POINT (-75.0144444 41.56388889),78.16837782340862,2040101000265.0,-75.01518546437691,41.56325501184666
27,1570.0,2617252,01427500,-75.04838889,41.76055556,1940-10-01,2024-12-01,POINT (-75.04838889 41.76055556),84.16700889801506,2040101000001.0,-75.0485503751869,41.76083072745759
28,1634.0,4146586,01434021,-74.4144444,42.0111111,1991-01-01,2024-12-01,POINT (-74.4144444 42.0111111),33.91649555099247,2040104000154.0,-74.4148052546876,42.01127779760736
29,1636.0,4147394,01434017,-74.54027778,41.92527778,1991-07-01,2024-12-01,POINT (-74.54027778 41.92527778),33.42094455852156,2040104000143.0,-74.54022360828388,41.9249354294928
30,1637.0,4147396,01434498,-74.57438889,41.92041667,1991-07-01,2024-12-01,POINT (-74.57438889 41.92041667),33.42094455852156,2040104000149.0,-74.57483693071529,41.92060435782933
31,1640.0,4147566,01432900,-74.7805556,41.66805556,2002-10-01,2024-12-01,POINT (-74.7805556 41.66805556),22.168377823408623,2040104000193.0,-74.78096196604258,41.66789877056058
32,1642.0,4147946,01434025,-74.5002222,41.9960833,1983-06-08,2024-12-01,POINT (-74.5002222 41.9960833),41.4839151266256,2040104001311.0,-74.50066014284786,41.99528969265056
33,1644.0,4147950,0143400680,-74.4480556,41.96694444,1990-10-01,2024-12-01,POINT (-74.4480556 41.96694444),34.168377823408626,2040104000147.0,-74.44829266402652,41.96659680503284
34,1645.0,4147956,01435000,-74.5898056,41.88994444,1937-11-01,2024-12-01,POINT (-74.5898056 41.88994444),87.08281998631075,2040104000140.0,-74.59008987196107,41.88961537150775
35,1654.0,4151302,01440000,-74.9525,41.1061111,1923-10-01,2024-12-02,POINT (-74.9525 41.1061111),101.17180013689254,2040104000006.0,-74.95644386792797,41.10461885356239
36,1665.0,4153154,01440485,-75.32210958,41.09388988,2001-04-18,2024-12-01,POINT (-75.32210958 41.09388988),23.62217659137577,2040104000718.0,-75.3218904652875,41.09392039112681
37,1666.0,4153166,01440400,-75.2146251,41.0848148,1957-10-01,2024-12-01,POINT (-75.2146251 41.0848148),67.16769336071184,2040104000377.0,-75.21482278390475,41.08448736237708
38,1667.0,4153168,01439500,-75.03767469,41.08815078,1908-10-01,2024-12-01,POINT (-75.03767469 41.08815078),116.16700889801506,2040104000344.0,-75.03732613351471,41.08848472517633
39,,4154458,01441495,-75.2551636,40.99083514,2002-06-21,2024-11-03,POINT (-75.2551636 40.99083514),22.3709787816564,2040104000561.0,-75.25444323268763,40.99113901064362
